Name;Lat;Long
Charlottenburg;52,5169551505;13,3002383783
Wilmersdorf;52,4919481055;13,3150278306
Friedrichshain;52,5159990733;13,4521974323
Kreuzberg;52,4987894936;13,4018454372
Lichtenberg;52,5230695498;13,4982888738
Mitte;52,5310320328;13,3947221194
Neukölln;52,4704004007;13,4448694560
Prenzlauer_Berg;52,5387108329;13,4243395535
Steglitz;52,4524033506;13,3380555359
Tempelhof;52,4695617923;13,3841810454
Schöneberg;52,4896700709;13,3555346764
Alt-Treptow;52,4921654518;13,4504446113
Moabit;52,5302936158;13,3515097976
Tiergarten;52,5144885173;13,3546657537
